num,day,room,hatched_cocoons,dead_bees,sum_dead,percent_dead,Season,UV
1,2,a,94,0,0,0,Spring,y
2,3,a,25,9,9,0.0703125,Spring,y
3,4,a,5,1,10,0.078125,Spring,y
4,5,a,2,1,11,0.0859375,Spring,y
5,8,a,1,20,31,0.2421875,Spring,y
6,9,a,0,8,39,0.3046875,Spring,y
7,10,a,0,6,45,0.3515625,Spring,y
8,11,a,1,4,49,0.3828125,Spring,y
9,12,a,0,3,52,0.40625,Spring,y
10,15,a,0,5,57,0.4453125,Spring,y
11,16,a,0,3,60,0.46875,Spring,y
12,17,a,0,2,62,0.484375,Spring,y
13,18,a,0,7,69,0.5390625,Spring,y
14,19,a,0,5,74,0.578125,Spring,y
15,22,a,0,8,82,0.640625,Spring,y
16,23,a,0,1,83,0.6484375,Spring,y
17,24,a,0,2,85,0.6640625,Spring,y
18,25,a,0,0,85,0.6640625,Spring,y
19,26,a,0,1,86,0.671875,Spring,y
20,29,a,0,7,93,0.7265625,Spring,y
21,2,c,94,0,0,0,Spring,n
22,3,c,18,0,0,0,Spring,n
23,4,c,7,2,2,0.016129032,Spring,n
24,5,c,1,4,6,0.048387097,Spring,n
25,8,c,3,18,24,0.193548387,Spring,n
26,9,c,1,14,38,0.306451613,Spring,n
27,10,c,0,9,47,0.379032258,Spring,n
28,11,c,0,2,49,0.39516129,Spring,n
29,12,c,0,1,50,0.403225806,Spring,n
30,15,c,0,10,60,0.483870968,Spring,n
31,16,c,0,8,68,0.548387097,Spring,n
32,17,c,0,3,71,0.572580645,Spring,n
33,18,c,0,6,77,0.620967742,Spring,n
34,19,c,0,5,82,0.661290323,Spring,n
35,22,c,0,9,91,0.733870968,Spring,n
36,23,c,0,1,92,0.741935484,Spring,n
37,24,c,0,0,92,0.741935484,Spring,n
38,25,c,0,3,95,0.766129032,Spring,n
39,26,c,0,2,97,0.782258065,Spring,n
40,29,c,0,7,104,0.838709677,Spring,n
41,2,a,0,0,0,0,Summer,y
42,3,a,119,6,6,0.048780488,Summer,y
43,4,a,3,7,13,0.105691057,Summer,y
44,5,a,1,8,21,0.170731707,Summer,y
45,8,a,0,11,32,0.260162602,Summer,y
46,9,a,0,6,38,0.308943089,Summer,y
47,10,a,0,6,44,0.357723577,Summer,y
48,11,a,0,8,52,0.422764228,Summer,y
49,12,a,0,5,57,0.463414634,Summer,y
50,15,a,0,5,62,0.504065041,Summer,y
51,16,a,0,3,65,0.528455285,Summer,y
52,17,a,0,4,69,0.56097561,Summer,y
53,18,a,67,57,126,0.663157895,Summer,y
54,19,a,0,4,130,0.684210526,Summer,y
55,22,a,0,5,135,0.710526316,Summer,y
56,23,a,0,1,136,0.715789474,Summer,y
57,24,a,0,2,138,0.726315789,Summer,y
58,25,a,0,2,140,0.736842105,Summer,y
59,26,a,0,2,142,0.747368421,Summer,y
60,29,a,0,3,145,0.763157895,Summer,y
61,2,c,0,0,0,0,Summer,n
62,3,c,117,15,15,0.128205128,Summer,n
63,4,c,0,14,29,0.247863248,Summer,n
64,5,c,0,18,47,0.401709402,Summer,n
65,8,c,0,19,66,0.564102564,Summer,n
66,9,c,0,9,75,0.641025641,Summer,n
67,10,c,0,5,80,0.683760684,Summer,n
68,11,c,0,5,85,0.726495726,Summer,n
69,12,c,0,4,89,0.760683761,Summer,n
70,15,c,0,7,96,0.820512821,Summer,n
71,16,c,0,3,99,0.846153846,Summer,n
72,17,c,0,5,104,0.888888889,Summer,n
73,18,c,77,70,174,0.896907216,Summer,n
74,19,c,0,6,180,0.927835052,Summer,n
75,22,c,0,6,186,0.958762887,Summer,n
76,23,c,0,5,191,0.984536082,Summer,n
77,24,c,0,2,193,0.994845361,Summer,n
78,25,c,0,0,193,0.994845361,Summer,n
79,26,c,0,1,194,1,Summer,n
80,29,c,0,2,196,1.010309278,Summer,n
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
