Num,Treatment,Bucket,Plant,Pooled_Fresh,Pooled_Dry,percent_dry_matter
1,Bee,5,1,12.4,1.22,9.838709677
2,Bee,5,2,6,0.72,12
3,Bee,5,3,0.5,0.13,26
4,Bee,5,4,9.9,1.15,11.61616162
5,Bee,5,5,6,0.75,12.5
6,Bee,5,6,15.2,1.643,10.80921053
7,Bee,5,7,1.6,0.29,18.125
8,Bee,5,8,5,0.66,13.2
9,Bee,5,9,7.5,0.85,11.33333333
10,Bee,5,10,2.2,0.24,10.90909091
11,Bee,5,11,9.1,1.28,14.06593407
12,Bee,5,12,9.1,1.08,11.86813187
13,Bee,5,13,1,0.12,12
14,Bee,5,14,0.9,0.14,15.55555556
15,Bee,5,15,10,1.43,14.3
16,Bee,5,16,5.2,0.62,11.92307692
17,Bee,5,17,2.1,0.28,13.33333333
18,Bee,5,18,0.9,0.16,17.77777778
19,Bee,5,19,9.8,1.11,11.32653061
20,Bee,5,20,7.1,0.92,12.95774648
21,Bee,6,1,2.8,0.4292,15.32857143
22,Bee,6,2,3.7,0.5302,14.32972973
23,Bee,6,3,0.1,0.0443,44.3
24,Bee,6,4,11.7,1.4482,12.37777778
25,Bee,6,5,10.4,1.251,12.02884615
26,Bee,6,6,1.2,0.1891,15.75833333
27,Bee,6,7,0.9,0.1402,15.57777778
28,Bee,6,8,5.7,0.874,15.33333333
29,Bee,6,9,5.9,0.8359,14.16779661
30,Bee,6,10,1.1,0.3698,33.61818182
31,Bee,6,11,8.1,0.9961,12.29753086
32,Bee,6,12,2.1,0.3581,17.05238095
33,Bee,6,13,3.5,0.5732,16.37714286
34,Bee,6,14,3.2,0.4641,14.503125
35,Bee,6,15,1.9,0.4088,21.51578947
36,Bee,6,16,1.5,0.2537,16.91333333
37,Bee,6,18,4.1,0.6488,15.82439024
38,Bee,6,19,1.6,0.2752,17.2
39,Bee,6,20,5.3,0.6266,11.82264151
40,Bee/UV,1,1,0.733,0.09,12.27830832
41,Bee/UV,1,2,3.722,0.45,12.09027405
42,Bee/UV,1,3,4.867,0.51,10.47873433
43,Bee/UV,1,4,5.051,0.61,12.07681647
44,Bee/UV,1,5,1.835,0.21,11.44414169
45,Bee/UV,1,6,3.494,0.39,11.16199199
46,Bee/UV,1,7,6.843,0.71,10.37556627
47,Bee/UV,1,8,1.753,0.19,10.83856246
48,Bee/UV,1,9,3.924,0.41,10.44852192
49,Bee/UV,1,10,4.481,0.51,11.38138808
50,Bee/UV,1,11,6.185,0.63,10.18593371
51,Bee/UV,1,12,8.982,0.86,9.574704965
52,Bee/UV,1,13,1.235,0.12,9.71659919
53,Bee/UV,1,14,12.053,1.2,9.956027545
54,Bee/UV,1,15,6.984,0.67,9.593356243
55,Bee/UV,1,16,6.157,0.65,10.55708949
56,Bee/UV,1,17,8.634,0.88,10.19226315
57,Bee/UV,1,18,3.378,0.42,12.43339254
58,Bee/UV,1,19,1.882,0.2,10.62699256
59,Bee/UV,1,20,0.692,0.1,14.45086705
60,Bee/UV,2,1,0.9,0.1295,14.38888889
61,Bee/UV,2,2,17.8,1.9858,11.15617978
62,Bee/UV,2,3,3.3,0.4765,14.43939394
63,Bee/UV,2,4,2.2,0.3458,15.71818182
64,Bee/UV,2,5,19.2,2.6505,13.8046875
65,Bee/UV,2,6,4.5,0.6321,14.04666667
66,Bee/UV,2,7,10.4,1.3415,12.89903846
67,Bee/UV,2,8,10.4,1.1037,10.6125
68,Bee/UV,2,9,6.2,0.6493,10.47258065
69,Bee/UV,2,10,4.6,0.575,12.5
70,Bee/UV,2,11,5.7,0.8359,14.66491228
71,Bee/UV,2,12,5,0.6281,12.562
72,Bee/UV,2,13,16.3,1.9885,12.1993865
73,Bee/UV,2,14,4.5,1.1796,26.21333333
74,Bee/UV,2,15,11.8,1.3124,11.1220339
75,Bee/UV,2,16,10.3,1.5038,14.6
76,Bee/UV,2,17,10.9,1.1905,10.92201835
77,Bee/UV,2,18,11.1,1.3583,12.23693694
78,Bee/UV,2,19,0.6,0.1026,17.1
79,Bee/UV,2,20,2.6,0.3836,14.75384615
80,Control,3,3,1.1,0.1283,11.66363636
81,Control,3,8,0.3,0.0662,22.06666667
82,Control,3,10,0.5,0.0691,13.82
83,Control,3,12,0.6,0.0777,12.95
84,Control,3,13,0.5,0.1039,20.78
85,Control,4,2,0.1,0.03,30
86,Control,4,3,1,0.09,9
87,Control,4,4,1.7,0.25,14.70588235
88,Control,4,7,1,0.13,13
89,Control,4,8,2.5,0.27,10.8
90,Control,4,9,1.9,0.29,15.26315789
91,Control,4,10,0.1,0.03,30
92,Control,4,11,7.1,0.82,11.54929577
93,Control,4,13,0.8,0.08,10
94,Control,4,15,0.4,0.12,30
95,Control,4,16,2,0.23,11.5
96,Control,4,17,5,0.5,10
97,Control,4,18,0.4,0.04,10
98,Control,4,20,1.6,0.17,10.625
